year,province,batch,category,first_subject,second_subject_requirement,university_code,university_name,major_group_code,major_group_name,major_code,major_name,plan_seats,tuition,schooling_years,campus,is_sino_foreign,is_private,notes,physical_limit_note,single_subject_limit_note,limits,source_id,source_url,source_type,raw_document_sha256,parser_name,parser_version,parse_confidence,confidence_score,license_note,review_status,reviewer
2026,湖北,本科普通批,普通类,physics,化学,HBA001,湖北样例001大学,HBA001-P01,物理01组-物理+化学专业组,080901,计算机科学与技术,53,5700,4年,襄阳,否,否,虚构样例，仅用于格式和流程测试,,,,fixture-plan-2026,manual-upload://official-hubei-2026-plan-fixture,fixture_seed,bc5e71eb234b2c509307694654a48751942de6062d2cf120376a422cd3888dfe,static_csv_seed,curated-fixture-seed-v0.2,0.95,0.95,fixture seed mirrors public Hubei admissions schema; replace with reviewed official rows before production,approved,system_seed
2026,湖北,本科普通批,普通类,physics,化学,HBA002,湖北样例002大学,HBA002-P02,物理02组-物理+化学专业组,080701,电子信息工程,60,6200,4年,宜昌,否,否,虚构样例，仅用于格式和流程测试,,,,fixture-plan-2026,manual-upload://official-hubei-2026-plan-fixture,fixture_seed,bc5e71eb234b2c509307694654a48751942de6062d2cf120376a422cd3888dfe,static_csv_seed,curated-fixture-seed-v0.2,0.95,0.95,fixture seed mirrors public Hubei admissions schema; replace with reviewed official rows before production,approved,system_seed
2026,湖北,本科普通批,普通类,physics,化学,HBA003,湖北样例003大学,HBA003-P03,物理03组-物理+化学专业组,080801,自动化,67,6700,4年,黄冈,否,否,虚构样例，仅用于格式和流程测试,,,,fixture-plan-2026,manual-upload://official-hubei-2026-plan-fixture,fixture_seed,bc5e71eb234b2c509307694654a48751942de6062d2cf120376a422cd3888dfe,static_csv_seed,curated-fixture-seed-v0.2,0.95,0.95,fixture seed mirrors public Hubei admissions schema; replace with reviewed official rows before production,approved,system_seed
2026,湖北,本科普通批,普通类,physics,不限,HBA004,湖北样例004大学,HBA004-P04,物理04组-物理+不限专业组,081001,土木工程,74,7200,4年,荆州,否,否,虚构样例，仅用于格式和流程测试,,,,fixture-plan-2026,manual-upload://official-hubei-2026-plan-fixture,fixture_seed,bc5e71eb234b2c509307694654a48751942de6062d2cf120376a422cd3888dfe,static_csv_seed,curated-fixture-seed-v0.2,0.95,0.95,fixture seed mirrors public Hubei admissions schema; replace with reviewed official rows before production,approved,system_seed
2026,湖北,本科普通批,普通类,physics,化学,HBA005,湖北样例005大学,HBA005-P05,物理05组-物理+化学专业组,100201,临床医学,81,7700,4年,十堰,否,否,虚构样例，仅用于格式和流程测试,色弱慎报,,色弱慎报,fixture-plan-2026,manual-upload://official-hubei-2026-plan-fixture,fixture_seed,bc5e71eb234b2c509307694654a48751942de6062d2cf120376a422cd3888dfe,static_csv_seed,curated-fixture-seed-v0.2,0.95,0.95,fixture seed mirrors public Hubei admissions schema; replace with reviewed official rows before production,approved,system_seed
2026,湖北,本科普通批,普通类,physics,化学,HBA006,湖北样例006大学,HBA006-P06,物理06组-物理+化学专业组,080901,计算机科学与技术,88,5200,4年,孝感,否,否,虚构样例，仅用于格式和流程测试,,,,fixture-plan-2026,manual-upload://official-hubei-2026-plan-fixture,fixture_seed,bc5e71eb234b2c509307694654a48751942de6062d2cf120376a422cd3888dfe,static_csv_seed,curated-fixture-seed-v0.2,0.95,0.95,fixture seed mirrors public Hubei admissions schema; replace with reviewed official rows before production,approved,system_seed
2026,湖北,本科普通批,普通类,physics,化学,HBA007,湖北样例007大学,HBA007-P07,物理07组-物理+化学专业组,080701,电子信息工程,74,5700,4年,咸宁,否,否,虚构样例，仅用于格式和流程测试,,,,fixture-plan-2026,manual-upload://official-hubei-2026-plan-fixture,fixture_seed,bc5e71eb234b2c509307694654a48751942de6062d2cf120376a422cd3888dfe,static_csv_seed,curated-fixture-seed-v0.2,0.95,0.95,fixture seed mirrors public Hubei admissions schema; replace with reviewed official rows before production,approved,system_seed
2026,湖北,本科普通批,普通类,physics,化学,HBA008,湖北样例008大学,HBA008-P08,物理08组-物理+化学专业组,080801,自动化,49,6200,4年,武汉,否,否,虚构样例，仅用于格式和流程测试,,,,fixture-plan-2026,manual-upload://official-hubei-2026-plan-fixture,fixture_seed,bc5e71eb234b2c509307694654a48751942de6062d2cf120376a422cd3888dfe,static_csv_seed,curated-fixture-seed-v0.2,0.95,0.95,fixture seed mirrors public Hubei admissions schema; replace with reviewed official rows before production,approved,system_seed
2026,湖北,本科普通批,普通类,physics,不限,HBA009,湖北样例009大学,HBA009-P09,物理09组-物理+不限专业组,081001,土木工程,56,6700,4年,襄阳,否,否,虚构样例，仅用于格式和流程测试,,,,fixture-plan-2026,manual-upload://official-hubei-2026-plan-fixture,fixture_seed,bc5e71eb234b2c509307694654a48751942de6062d2cf120376a422cd3888dfe,static_csv_seed,curated-fixture-seed-v0.2,0.95,0.95,fixture seed mirrors public Hubei admissions schema; replace with reviewed official rows before production,approved,system_seed
2026,湖北,本科普通批,普通类,physics,化学,HBA010,湖北样例010大学,HBA010-P10,物理10组-物理+化学专业组,100201,临床医学,63,7200,4年,宜昌,否,否,虚构样例，仅用于格式和流程测试,色弱慎报,,色弱慎报,fixture-plan-2026,manual-upload://official-hubei-2026-plan-fixture,fixture_seed,bc5e71eb234b2c509307694654a48751942de6062d2cf120376a422cd3888dfe,static_csv_seed,curated-fixture-seed-v0.2,0.95,0.95,fixture seed mirrors public Hubei admissions schema; replace with reviewed official rows before production,approved,system_seed
